theme,idea,description
Energy,Autonomous wastewater heat energy reuse system with self,Autonomous wastewater heat energy reuse system with self-cleaning heat exchanger powered by renewable energy for apartment buildings.
Energy,Heat exchanger to capture the energy from the,Heat exchanger to capture the energy from the hot flues escaping the chimney and use them to heat the room.
Energy,Heat storage barrel can store excess or cheap electric,"Heat storage barrel that can store excess or cheap electric energy as heat for later release into living rooms, with a very low heat loss over time allowing choosing when to buy or use energy from different sources."
Energy,Smart power socket to help minimize energy costs.,Smart power socket to help minimize energy costs.
Social Issues,Develop a policy for youth migrants/refuge,"Development of a policy for youth migrants/refugees to participate in active political life, taking into account the need to ensure meaningful participation of youth migrants and refugees in decision-making processes."
Social Issues,PDF document with comprehensive information that a young migrant,"Creation of a PDF document with comprehensive information that a young migrant might need, such as any dangers to watch out for, accommodation, where to find language courses, most useful phrases, local jokes, etc."
Social Issues,Language and cultural training can help young migrants,"Provide language and cultural training to young migrants, which can help them better communicate and understand their new surroundings."
Social Issues,"Investing in education and training, encouraging entrepreneurship","Creating solutions for addressing unemployment among young people in Europe such as investing in education and training, encouraging entrepreneurship, supporting the transition from school to work, and providing job search assistance"
EdTech,An innovative ecosystem designed to optimize and accelerate learners,An innovative ecosystem designed to optimize and accelerate learners' path to success within the IT industry through a workspace simulator.
EdTech,A programming learning platform for classroom use that helps,A programming learning platform for classroom use that helps bridge the digital divide and youth unemployment through intergenerational learning and skills development.
EdTech,"A memory techniques-based platform, where different","A memory techniques-based platform, where different associations for memorizing something (e.g. German vocabulary, national capitals, Latin plant names) meet."
EdTech,An educational ecosystem that offers tools and resources created,"An educational ecosystem that offers tools and resources created on the principle of visual simplification for professional development, team empowerment, time management, and effective leadership for education leaders."
Bitcoin,"Senders remit Bitcoin, receivers get local","A solution that uses Bitcoin Lightning for fast, low-cost remittances. Senders remit Bitcoin, receivers get local fiat instantly. Leverages Lightning's potential to revolutionize global payments."
Bitcoin,A solution to enable seamless trade and investment.,"A solution to enable seamless trade and investment. Leveraging Bitcoin's liquidity and Taproot Assets, cutting out intermediaries and reducing transaction costs."
Bitcoin,A platform that automates the process of saving,A platform that automates the process of saving Bitcoin into self-custodial wallets.
Bitcoin,"Leveraging Lightning Network, it creates a","A solution to empower users to earn Bitcoin through ad clicks and views. Leveraging Lightning Network, it creates a micropayment-based ad platform."
Space,Developing a Space Debris Collecting Robot,Developing a Space Debris Collecting Robot (SDCR) prototype. Reusing collected materials for scientific research and industry.
Space,A mobile spacecraft would carry the fuel and equipment,"Offer the service of a ""garage"" space station able to store fuel and equipment to extend the lifespan of orbiting satellites.  A mobile spacecraft would carry the fuel and equipment to fix satellites in their orbit."
Space,The solution consists of a platform-as-,An innovative way to locate the space and aerial vehicles using radio frequency transmitters. The solution consists of a platform-as-a-service business model and allows space agencies to seamlessly track space vehicles.
Space,Watchdog project aims to pull back the veil,An open-sourced watchdog project which aims to pull back the veil on corporate misdeeds around the world. All monitoring revolves around environmentally damaging practices (e.g. chemical manufacturers dumping chemicals in rivers).
Blockchain,Ethernet is a distributed ledger technology,To use distributed ledger technology based on the Ethereum network to create tamper-proof certificates in non-transferable NFT format.
